               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.033752,             0.11651,           0.0064124,             0.65173,             0.74472,             0.71685,             0.47357,            0.031889,             0.12871,           0.0082566,            0.009307,            0.009307,            0.009307
                  37,            0.034367,             0.11667,           0.0056369,             0.60572,             0.76764,             0.71304,             0.48317,            0.030858,             0.12796,           0.0082079,           0.0092872,           0.0092872,           0.0092872
                  38,            0.033188,             0.11112,           0.0059503,              0.7533,             0.63919,             0.73055,             0.49109,            0.029124,             0.12766,           0.0080893,           0.0092674,           0.0092674,           0.0092674
                  39,            0.033053,             0.11028,           0.0061144,             0.76606,             0.63826,              0.7603,              0.4795,             0.03376,             0.12967,           0.0080916,           0.0092476,           0.0092476,           0.0092476
                  40,            0.034585,              0.1119,            0.006149,             0.67835,             0.74616,             0.73288,             0.48131,             0.02945,             0.12822,           0.0078092,           0.0092278,           0.0092278,           0.0092278
                  41,            0.033247,             0.11762,           0.0057081,             0.72443,             0.67876,             0.72993,             0.50289,            0.029835,             0.13161,           0.0084847,            0.009208,            0.009208,            0.009208
                  42,            0.033656,             0.10943,            0.005561,              0.7229,             0.69718,             0.72516,             0.48745,            0.029928,             0.13076,           0.0081799,           0.0091882,           0.0091882,           0.0091882
                  43,            0.031987,               0.107,           0.0054969,              0.7584,             0.71231,             0.72783,             0.49638,            0.028804,             0.12827,           0.0086507,           0.0091684,           0.0091684,           0.0091684
                  44,            0.032629,             0.11305,           0.0055893,             0.67795,             0.73919,             0.71302,             0.47415,            0.029013,             0.13284,            0.008709,           0.0091486,           0.0091486,           0.0091486
                  45,            0.030612,             0.11069,            0.005555,             0.74088,             0.70534,             0.72646,             0.49974,            0.028488,             0.13256,           0.0076937,           0.0091288,           0.0091288,           0.0091288
                  46,            0.032114,             0.11025,           0.0052162,              0.6799,             0.73275,             0.71405,             0.47258,            0.028819,             0.13056,           0.0078302,            0.009109,            0.009109,            0.009109
                  47,            0.031205,             0.11433,           0.0053313,             0.67174,             0.73848,             0.72198,              0.5035,            0.028747,             0.13071,           0.0083088,           0.0090892,           0.0090892,           0.0090892
                  48,            0.031394,             0.10943,           0.0052201,             0.68721,              0.7495,             0.72234,             0.49435,            0.029492,             0.13044,           0.0084772,           0.0090694,           0.0090694,           0.0090694
                  49,            0.031343,             0.10695,           0.0049507,             0.71287,             0.73996,             0.73325,             0.50912,            0.027352,             0.12806,           0.0080851,           0.0090496,           0.0090496,           0.0090496
                  50,            0.031174,             0.10619,             0.00482,             0.70209,             0.72912,             0.74225,             0.49702,             0.02948,             0.12405,           0.0077838,           0.0090298,           0.0090298,           0.0090298
                  51,             0.03074,             0.11051,           0.0051144,              0.7423,             0.75998,             0.73607,             0.51237,            0.026961,             0.12589,           0.0079353,             0.00901,             0.00901,             0.00901
                  52,            0.031535,             0.11453,             0.00478,             0.69793,             0.75273,             0.71855,              0.5004,            0.027907,             0.12614,           0.0081488,           0.0089902,           0.0089902,           0.0089902
                  53,            0.030305,             0.10099,           0.0046003,             0.70035,             0.75421,             0.73052,             0.51579,            0.027558,             0.12747,           0.0081799,           0.0089704,           0.0089704,           0.0089704
                  54,            0.030303,             0.10684,           0.0046714,             0.64059,             0.78514,             0.71715,             0.50826,            0.026554,             0.12388,            0.008245,           0.0089506,           0.0089506,           0.0089506
