               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   2,            0.031614,             0.12092,            0.002068,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0076668,           0.0076668,            0.010919
                   3,            0.031553,             0.12519,           0.0022445,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0069456,           0.0069456,           0.0069456
                   4,             0.02822,             0.11171,           0.0022226,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0069456,           0.0069456,           0.0069456
                   5,             0.02791,             0.11633,           0.0020725,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0059675,           0.0059675,           0.0059675
                   6,            0.025785,             0.10297,           0.0021238,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0049894,           0.0049894,           0.0049894
                   7,            0.024378,             0.10654,           0.0019007,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0040113,           0.0040113,           0.0040113
                   8,             0.02424,             0.10446,           0.0017896,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0030332,           0.0030332,           0.0030332
                   9,            0.023836,             0.10162,           0.0018601,             0.78539,             0.73966,               0.806,             0.58166,            0.026786,             0.15221,           0.0061965,            0.002055,            0.002055,            0.002055
                   0,            0.074837,             0.11836,           0.0013547,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0044361,           0.0044361,            0.073362
                   1,            0.038607,            0.094207,           0.0016819,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0080638,           0.0080638,            0.021104
                   2,            0.042263,             0.08993,           0.0020459,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008025,            0.008025,            0.008025
                   3,            0.041051,            0.088676,           0.0018307,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008025,            0.008025,            0.008025
                   4,            0.033583,             0.07854,            0.001656,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0070375,           0.0070375,           0.0070375
                   5,            0.031378,            0.080704,           0.0015611,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00605,             0.00605,             0.00605
                   6,             0.02883,            0.072434,           0.0014685,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0050625,           0.0050625,           0.0050625
                   7,            0.027407,            0.074747,           0.0012822,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.004075,            0.004075,            0.004075
                   8,            0.025512,            0.072423,           0.0011845,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0030875,           0.0030875,           0.0030875
                   9,            0.024893,            0.070492,            0.001132,             0.81526,             0.73512,              0.8156,             0.59352,            0.032278,             0.11485,           0.0032976,              0.0021,              0.0021,              0.0021
                   0,            0.077067,             0.16714,           0.0028672,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0034983,           0.0034983,            0.067479
                   1,             0.04352,             0.12204,           0.0018412,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0063574,           0.0063574,            0.039627
                   2,            0.035752,             0.11046,            0.001835,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0085121,           0.0085121,            0.011071
                   3,            0.033716,             0.10715,           0.0022523,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0076697,           0.0076697,           0.0076697
                   4,             0.03415,             0.10674,            0.002231,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0076697,           0.0076697,           0.0076697
                   5,             0.03025,             0.10409,           0.0021844,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0065896,           0.0065896,           0.0065896
                   6,            0.028706,            0.094008,           0.0021317,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0055096,           0.0055096,           0.0055096
                   7,            0.026745,            0.096331,           0.0018852,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0044295,           0.0044295,           0.0044295
                   8,            0.026261,            0.093783,            0.001804,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0033494,           0.0033494,           0.0033494
                   9,            0.025642,             0.09176,           0.0017858,             0.80407,              0.7552,             0.82319,             0.60274,            0.029025,             0.13638,           0.0054375,           0.0022693,           0.0022693,           0.0022693
                   0,            0.072982,             0.12126,           0.0013304,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0043339,           0.0043339,            0.073906
                   1,            0.037729,            0.094969,           0.0015919,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0078782,           0.0078782,            0.023238
                   2,            0.040735,            0.087941,           0.0019243,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0080173,           0.0080173,           0.0080173
                   3,            0.038123,            0.089947,           0.0018436,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0080173,           0.0080173,           0.0080173
